STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20111201,122,0,0,588,0,0,240,0,0,125,0,0,-155,0,0,32,0,0,-39,0,0,-3,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120101,102,0,0,586,0,0,232,0,0,100,0,0,-180,0,0,9,0,0,-60,0,0,-26,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120201,114,0,0,476,0,0,376,0,0,80,0,0,-140,0,0,25,0,0,-48,0,0,-12,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120301,64,0,0,254,0,0,38,0,0,275,0,0,-155,0,0,125,0,0,9,0,0,67,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120401,160,0,0,522,0,0,54,0,0,250,0,0,-30,0,0,125,0,0,16,0,0,71,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120501,234,0,0,450,0,0,0,0,0,330,0,0,40,0,0,229,0,0,105,0,0,167,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120601,306,0,0,884,0,0,0,0,0,340,0,0,90,0,0,260,0,0,148,0,0,204,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120701,494,0,0,1653,0,0,0,0,0,355,0,0,130,0,0,296,0,0,179,0,0,238,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120801,244,0,0,820,0,0,0,0,0,330,0,0,100,0,0,267,0,0,158,0,0,212,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20120901,470,0,0,1520,0,0,0,0,0,295,0,0,30,0,0,217,0,0,106,0,0,161,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20121001,154,0,0,1201,0,0,0,0,0,235,0,0,-25,0,0,138,0,0,61,0,0,99,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20121101,96,0,0,156,0,0,6,0,0,180,0,0,-70,0,0,70,0,0,-6,0,0,32,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20121201,116,0,0,719,0,0,230,0,0,145,0,0,-105,0,0,31,0,0,-33,0,0,-1,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130101,190,0,0,682,0,0,188,0,0,130,0,0,-215,0,0,4,0,0,-70,0,0,-33,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130201,216,0,0,976,0,0,814,0,0,60,0,0,-190,0,0,-13,0,0,-87,0,0,-50,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130301,112,0,0,322,0,0,154,0,0,130,0,0,-110,0,0,39,0,0,-42,0,0,-1,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130401,178,0,0,994,0,0,70,0,0,235,0,0,-70,0,0,110,0,0,10,0,0,60,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130501,358,0,0,860,0,0,4,0,0,305,0,0,5,0,0,218,0,0,89,0,0,153,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130601,450,0,0,1434,0,0,0,0,0,325,0,0,60,0,0,235,0,0,139,0,0,187,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130701,544,0,0,1694,0,0,0,0,0,345,0,0,115,0,0,270,0,0,170,0,0,220,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130801,468,0,0,996,0,0,0,0,0,310,0,0,105,0,0,263,0,0,151,0,0,207,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20130901,294,0,0,950,0,0,0,0,0,340,0,0,35,0,0,210,0,0,107,0,0,158,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20131001,122,0,0,976,0,0,0,0,0,250,0,0,-35,0,0,151,0,0,63,0,0,107,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20131101,110,0,0,436,0,0,104,0,0,150,0,0,-145,0,0,58,0,0,-22,0,0,18,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20131201,240,0,0,806,0,0,406,0,0,150,0,0,-195,0,0,-18,0,0,-80,0,0,-49,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20140101,146,0,0,656,0,0,488,0,0,65,0,0,-260,0,0,-53,0,0,-135,0,0,-94,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20140201,182,0,0,686,0,0,530,0,0,75,0,0,-220,0,0,-36,0,0,-123,0,0,-80,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20150501,358,0,0,432,0,0,0,8,7,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20150601,478,0,0,1139,0,0,0,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20150701,152,0,0,253,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20150801,254,0,0,639,0,0,0,5,4,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20150901,348,0,0,737,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20151001,447,0,0,868,0,0,0,3,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20151101,160,0,0,353,0,0,3,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20151201,28,0,0,59,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20160101,107,0,0,385,0,0,125,1,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA1ON000213,MISSISSAUGA 8.1 SSE CA,90.2,43.5189,-79.6157,20160201,318,0,0,677,0,0,167,2,1,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA006157431,SANDHILL CA,270,43.8,-79.8,20000101,94,0,0,402,0,0,218,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA006157431,SANDHILL CA,270,43.8,-79.8,20000201,110,0,0,582,0,0,446,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA006157431,SANDHILL CA,270,43.8,-79.8,20000301,80,0,0,306,0,0,80,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA006157431,SANDHILL CA,270,43.8,-79.8,20000401,450,0,0,944,0,0,120,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
GHCND:CA006157431,SANDHILL CA,270,43.8,-79.8,20000501,624,0,0,1366,0,0,0,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
